lec_exam,location,meeting_days,begin_time,end_time
LEC,HIP 202,MWF,10:30AM,11:20AM
EXAM,HIP 202,W,08:30AM,11:00AM
LEC,HIP 202,MWF,11:30AM,12:20PM
EXAM,HIP 202,R,12:00PM,02:30PM
LEC,HIP 202,TR,10:00AM,11:15AM
EXAM,HIP 202,T,08:30AM,11:00AM
LEC,HIP 104,MTWRF,08:30AM,12:20PM
EXAM,HIP 104,R,08:30AM,11:00AM
LEC,HIP 204,MTRF,01:30PM,02:20PM
EXAM,HIP 204,W,12:00PM,02:30PM
LEC,HIP 206,W,02:30PM,05:00PM
EXAM,HIP 206,T,03:30PM,06:00PM
LEC,FUR 118,MWF,09:30AM,10:20AM
EXAM,FUR 118,M,08:30AM,11:00AM
LEC,FUR 118,MWF,11:30AM,12:20PM
EXAM,FUR 118,R,12:00PM,02:30PM
LEC,FUR 207,TR,01:00PM,02:15PM
EXAM,FUR 207,T,12:00PM,02:30PM
LEC,FUR 118,MWF,12:30PM,01:20PM
EXAM,FUR 118,M,12:00PM,02:30PM
LEC,FUR 209,TR,01:00PM,02:15PM
EXAM,FUR 209,T,12:00PM,02:30PM
STU,RAB DSS,MW,11:30AM,01:20PM
EXAM,RAB DSS,R,12:00PM,02:30PM
STU,RAB DSS,TR,11:30AM,01:20PM
EXAM,RAB DSS,F,12:00PM,02:30PM
STU,RAB SCS,MW,01:30PM,03:20PM
EXAM,RAB SCS,W,12:00PM,02:30PM
STU,RAB PTS,MW,10:30AM,12:20PM
EXAM,RAB PTS,W,08:30AM,11:00AM
STU,RAB PTS,MW,08:30AM,10:20AM
EXAM,RAB PTS,R,08:30AM,11:00AM
STU,RAB PRS,TR,10:30AM,12:20PM
EXAM,RAB PRS,T,08:30AM,11:00AM
STU,RAB PTS,TR,01:00PM,02:50PM
EXAM,RAB PTS,T,12:00PM,03:00PM
LEC,RAB LLR,TR,08:30AM,09:45AM
EXAM,RAB LLR,F,08:30AM,11:00AM
LEC,RAB LLR,MWF,12:30PM,01:20PM
EXAM,RAB LLR,M,12:00PM,02:30PM
LEC,RAB LLR,TR,10:00AM,11:15AM
EXAM,RAB LLR,T,08:30AM,11:00AM
STU,RAB CRS,MW,09:30AM,11:20AM
EXAM,RAB CRS,M,08:30AM,11:00AM
STU,RAB CRS,TR,08:30AM,10:20AM
EXAM,RAB CRS,F,08:30AM,11:00AM
STU,RAB PHS,TR,08:30AM,10:20AM
EXAM,RAB PHS,F,08:30AM,11:00AM
STU,RAB PHS,TR,11:30AM,01:20PM
EXAM,RAB PHS,F,12:00PM,02:30PM
STU,RAB DSS,MW,08:30AM,10:20AM
EXAM,RAB DSS,R,08:30AM,11:00AM
LEC,RAB LLR,MWF,09:30AM,10:20AM
EXAM,RAB LLR,M,08:30AM,11:00AM
LEC,RAB LLR,MWF,10:30AM,11:20AM
EXAM,RAB LLR,W,08:30AM,11:00AM
STU,RAB SMR,MW,01:30PM,03:20PM
EXAM,RAB SMR,W,12:00PM,02:30PM
LEC,FUR 227,T,02:30PM,04:20PM
EXAM,FUR 227,R,03:30PM,06:00PM
LEC,FUR 209,MWF,11:30AM,12:20PM
EXAM,FUR 209,R,12:00PM,02:30PM
LEC,FUR 209,MWF,01:30PM,02:20PM
EXAM,FUR 209,W,12:00PM,02:30PM
SEM,FUR 208,T,02:30PM,05:00PM
EXAM,FUR 208,R,03:30PM,06:00PM
SEM,PYR 143,TR,11:30AM,12:45PM
EXAM,PYR 143,F,12:00PM,02:30PM
LEC,PYR 028,MWF,09:30AM,10:20AM
LAB,PYR 141,M,02:30PM,05:20PM
EXAM,PYR 028,M,08:30AM,11:00AM
LEC,PYR 126,MWF,11:30AM,12:20PM
LAB,PYR 141,T,02:30PM,05:20PM
EXAM,PYR 126,R,12:00PM,02:30PM
LEC,PYR 028,MWF,01:30PM,02:20PM
LAB,PYR 141,W,02:30PM,05:20PM
EXAM,PYR 028,W,12:00PM,02:30PM
LEC,PYR 028,TR,10:00AM,11:15AM
LAB,PYR 141,R,02:30PM,05:00PM
EXAM,PYR 028,T,08:30AM,11:00AM
LEC,FUR 214,MWF,09:30AM,10:20AM
LAB,PYR 142,M,02:30PM,05:20PM
EXAM,FUR 214,M,08:30AM,11:00AM
LEC,FUR 214,MWF,11:30AM,12:20PM
LAB,PYR 142,R,02:30PM,05:20PM
EXAM,FUR 214,R,12:00PM,02:30PM
LEC,PYR 126,MWF,10:30AM,11:20AM
LAB,PYR 142,T,02:30PM,05:20PM
EXAM,PYR 126,W,08:30AM,11:00AM
LEC,PYR 028,TR,01:00PM,02:15PM
LAB,PYR 142,W,02:30PM,05:20PM
EXAM,PYR 028,T,12:00PM,02:30PM
LEC,PYR 026,MWF,08:30AM,09:20AM
LAB,TNS 172,R,02:30PM,05:20PM
EXAM,PYR 026,R,08:30AM,11:00AM
LEC,PYR 026,MWF,10:30AM,11:20AM
LAB,TNS 172,T,02:30PM,05:20PM
EXAM,PYR 026,W,08:30AM,11:00AM
LEC,PYR 143,MWF,11:30AM,12:20PM
LAB,TNS 172,W,02:30PM,05:20PM
EXAM,PYR 143,R,12:00PM,02:30PM
LEC,RLY 108,MWF,08:30AM,10:20AM
EXAM,RLY 108,R,08:30AM,11:00AM
LEC,FUR 117,TR,08:30AM,09:45AM
LAB,FUR 117,W,02:30PM,05:20PM
EXAM,FUR 117,F,08:30AM,11:00AM
,,,,
,,,,
LEC,PYR 143,MWF,08:30AM,10:20AM
EXAM,PYR 143,R,08:30AM,11:00AM
LEC,PYR 143,TR,08:30AM,09:45AM
LAB,TNS 162,W,02:30PM,05:20PM
EXAM,PYR 143,F,08:30AM,11:00AM
LEC,PYR 026,MWF,11:30AM,12:20PM
LAB,TNS 161,M,02:30PM,05:20PM
EXAM,PYR 026,R,12:00PM,02:30PM
LEC,PYR 026,MWF,01:30PM,02:20PM
LAB,TNS 161,W,02:30PM,05:20PM
EXAM,PYR 026,W,12:00PM,02:30PM
LEC,PYR 143,MWF,10:30AM,11:20AM
LAB,PYR 027,R,02:30PM,05:20PM
EXAM,PYR 143,W,08:30AM,11:00AM
LEC,PYR 143,MWF,01:30PM,02:20PM
LAB,PYR 027,W,02:30PM,05:20PM
EXAM,PYR 143,W,12:00PM,02:30PM
LEC,PYR 129,TR,01:00PM,02:15PM
LAB,PYR 129,T,02:30PM,05:20PM
EXAM,PYR 129,T,12:00PM,02:30PM
LEC,PYR 123,TR,01:00PM,02:15PM
LAB,PYR 123,R,02:30PM,05:20PM
EXAM,PYR 123,T,12:00PM,02:30PM
LEC,PYR 026,TR,10:00AM,11:15AM
LAB,PYR 025,T,02:30PM,05:20PM
EXAM,PYR 026,T,08:30AM,11:00AM
LEC,PYR 143,TR,10:00AM,11:15AM
LAB,PYR 024,W,02:30PM,05:20PM
EXAM,PYR 143,T,08:30AM,11:00AM
LEC,FUR 117,TR,10:00AM,11:15AM
LAB,FUR 117,T,02:30PM,05:20PM
EXAM,FUR 117,T,08:30AM,11:00AM
LEC,PYR 028,TR,08:30AM,09:45AM
LAB,PYR 027,M,02:30PM,05:20PM
EXAM,PYR 028,F,08:30AM,11:00AM
LEC,HIP 202,MWF,01:30PM,02:20PM
EXAM,HIP 202,W,12:00PM,02:30PM
LEC,HIP 204,MR,02:30PM,03:45PM
EXAM,HIP 204,M,03:30PM,06:00PM
LEC,HIP 202,MWF,08:30AM,09:20AM
EXAM,HIP 202,R,08:30AM,11:00AM
LEC,HIP 204,TR,10:00AM,11:15AM
EXAM,HIP 204,T,08:30AM,11:00AM
LEC,HIP 209,TR,10:00AM,11:15AM
EXAM,HIP 209,T,08:30AM,11:00AM
LEC,HIP 104,MTWRF,08:30AM,12:20PM
EXAM,HIP 104,R,08:30AM,11:00AM
LEC,HIP 104,MTWRF,08:30AM,12:20PM
EXAM,HIP 104,R,08:30AM,11:00AM
LEC,HIP 206,TR,10:00AM,11:15AM
EXAM,HIP 206,T,08:30AM,11:00AM
LEC,HIP 209,MR,02:30PM,03:45PM
EXAM,HIP 209,M,03:30PM,06:00PM
LEC,HIP 104,MTWRF,08:30AM,12:20PM
EXAM,HIP 104,R,08:30AM,11:00AM
LEC,HIP 209,TR,08:30AM,09:45AM
EXAM,HIP 209,F,08:30AM,11:00AM
LEC,HIP 209,TR,11:30AM,12:45PM
EXAM,HIP 209,F,12:00PM,02:30PM
LEC,HIP 204,MWF,11:30AM,12:20PM
EXAM,HIP 204,R,12:00PM,02:30PM
LEC,HIP 104,TR,01:00PM,02:15PM
EXAM,HIP 104,T,12:00PM,02:30PM
LEC,HIP 202,W,02:30PM,05:00PM
EXAM,HIP 202,T,03:30PM,06:00PM
SEM,HIP 104,MWF,01:30PM,02:20PM
EXAM,HIP 104,W,12:00PM,02:30PM
SEM,PYR 249,TR,10:00AM,11:15AM
EXAM,PYR 249,T,08:30AM,11:00AM
LEC,PYR 030,MWF,09:30AM,10:20AM
EXAM,PYR 030,M,08:30AM,11:00AM
LEC,PYR 030,MWF,10:30AM,11:20AM
EXAM,PYR 030,W,08:30AM,11:00AM
LEC,PYR 231,MWF,11:30AM,12:20PM
EXAM,PYR 231,R,12:00PM,02:30PM
LEC,PYR 231,MWF,01:30PM,02:20PM
EXAM,PYR 231,W,12:00PM,02:30PM
LEC,PYR 028,MWF,08:30AM,09:20AM
ADD,PYR 231,T,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 028,R,08:30AM,11:00AM
LEC,PYR 249,MWF,08:30AM,09:20AM
ADD,PYR 126,M,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 249,R,08:30AM,11:00AM
LEC,PYR 249,MWF,09:30AM,10:20AM
ADD,PYR 126,M,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 249,M,08:30AM,11:00AM
LEC,PYR 031,MWF,11:30AM,12:20PM
ADD,PYR 031,T,03:00PM,05:00PM
LAB, ,,,
EXAM,PYR 026,R,12:00PM,02:30PM
LEC,RLY 106,MWF,10:30AM,11:20AM
ADD,RLY 106,M,02:30PM,04:30PM
EXAM,RLY 106,W,08:30AM,11:00AM
,,,,
,,,,
LEC,PYR 126,MWF,08:30AM,09:20AM
ADD,PYR 126,T,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 126,R,08:30AM,11:00AM
LEC,PYR 126,MWF,09:30AM,10:20AM
ADD,PYR 126,T,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 126,M,08:30AM,11:00AM
LEC,PYR 028,MWF,10:30AM,11:20AM
ADD,PYR 126,W,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 028,W,08:30AM,11:00AM
LEC,PYR 028,MWF,11:30AM,12:20PM
ADD,PYR 126,W,02:30PM,04:30PM
LAB, ,,,
EXAM,PYR 028,R,12:00PM,02:30PM
LEC,PYR 231,MF,08:30AM,09:20AM
ADD,PYR 231,TR,09:00AM,09:50AM
LAB, ,,,
EXAM,PYR 231,R,08:30AM,11:00AM
LEC,PYR 231,MF,09:30AM,10:20AM
ADD,PYR 231,TR,10:00AM,10:50AM
LAB, ,,,
EXAM,PYR 231,M,08:30AM,11:00AM
LEC,PYR 031,MWF,10:30AM,11:20AM
EXAM,PYR 031,W,08:30AM,11:00AM
LEC,PYR 031,MWF,09:30AM,10:20AM
EXAM,PYR 031,M,08:30AM,11:00AM
LEC,RLY 106,MWF,01:30PM,02:20PM
ADD,RLY 106,W,02:30PM,04:30PM
LAB, ,,,
EXAM,RLY 106,W,12:00PM,02:30PM
LEC,PYR 249,TR,01:00PM,02:15PM
LEC,PYR 249,TR,01:00PM,02:15PM
EXAM,PYR 249,T,12:00PM,02:30PM
LEC,TNS 070,TR,08:30AM,09:45AM
EXAM,TNS 070,F,08:30AM,11:00AM
LEC,PYR 249,MWF,11:30AM,12:20PM
LAB,PYR 249,M,02:30PM,05:00PM
EXAM,PYR 249,R,12:00PM,02:30PM
LEC,PYR 249,MWF,11:30AM,12:20PM
LAB,PYR 249,T,02:30PM,05:00PM
EXAM,PYR 249,R,12:00PM,02:30PM
LEC,FUR 109,MTWRF,10:30AM,11:20AM
EXAM,FUR 109,W,08:30AM,11:00AM
LEC,FUR 109,MTWRF,11:30AM,12:20PM
EXAM,FUR 109,R,12:00PM,02:30PM
LEC,FUR 109,MTRF,08:30AM,09:20AM
EXAM,FUR 109,R,08:30AM,11:00AM
LEC,FUR 118,TR,01:00PM,02:15PM
EXAM,FUR 118,T,12:00PM,02:30PM
LEC,FUR 119,MWF,01:30PM,02:20PM
EXAM,FUR 119,W,12:00PM,02:30PM
LEC,FUR 119,MWF,02:30PM,03:20PM
EXAM,FUR 119,M,03:30PM,06:00PM
SEM, ,,,
LEC,FUR 128,TR,01:00PM,02:15PM
EXAM,FUR 128,T,12:00PM,02:30PM
LEC,FUR 128,MWF,12:30PM,01:20PM
EXAM,FUR 128,M,12:00PM,02:30PM
